ministry_name,start_order,end_order,start_gaz,end_gaz,name_clean
ministry of road transport & highways,"Thursday, 4 June 2009",13-03-2020,"Friday, 5 June 2009",13-03-2020,road transport & highways
ministry of road transport & highways,"Friday, 17 November 2000","Thursday, 2 September 2004","Friday, 17 November 2000","Friday, 3 September 2004",road transport & highways
ministry of shipping,"Thursday, 4 June 2009",13-03-2020,"Friday, 5 June 2009",13-03-2020,shipping
ministry of shipping,"Friday, 17 November 2000","Thursday, 2 September 2004","Friday, 17 November 2000","Friday, 3 September 2004",shipping
ministry of agro & rural industries,"Thursday, 6 September 2001","Wednesday, 9 May 2007","Thursday, 6 September 2001","Friday, 11 May 2007",agro & rural industries
ministry of coal & mines,"Thursday, 6 September 2001","Thursday, 30 January 2003","Thursday, 6 September 2001","Thursday, 30 January 2003",coal & mines
ministry of coal & mines,"Monday, 12 January 2004","Friday, 3 December 2004","Monday, 12 January 2004","Monday, 6 December 2004",coal & mines
ministry of culture,"Thursday, 1 June 2006",13-03-2020,"Friday, 2 June 2006",13-03-2020,culture
ministry of culture,"Thursday, 6 September 2001","Friday, 21 December 2001","Thursday, 6 September 2001","Friday, 21 December 2001",culture
ministry of culture,"Thursday, 27 May 2004","Thursday, 16 February 2006","Thursday, 27 May 2004","Thursday, 16 February 2006",culture
ministry of disinvestment,"Thursday, 6 September 2001","Thursday, 27 May 2004","Thursday, 6 September 2001","Thursday, 27 May 2004",disinvestment
ministry of small scale industries,"Thursday, 6 September 2001","Wednesday, 9 May 2007","Thursday, 6 September 2001","Friday, 11 May 2007",small scale industries
department of development of north eastern region,"Thursday, 6 September 2001","Thursday, 27 May 2004","Thursday, 6 September 2001","Thursday, 27 May 2004",development of north eastern region
ministry of communications & information technology,"Friday, 21 December 2001","Saturday, 16 July 2016","Friday, 21 December 2001","Monday, 18 July 2016",communications & information technology
ministry of finance & company affairs,"Tuesday, 2 July 2002","Thursday, 10 April 2003","Tuesday, 2 July 2002","Thursday, 10 April 2003",finance & company affairs
ministry of urban development & poverty alleviation,"Tuesday, 6 January 2004","Thursday, 27 May 2004","Tuesday, 6 January 2004","Thursday, 27 May 2004",urban development & poverty alleviation
ministry of company affairs,"Thursday, 27 May 2004","Wednesday, 9 May 2007","Thursday, 27 May 2004","Friday, 11 May 2007",company affairs
ministry of development of north eastern region,"Thursday, 27 May 2004",13-03-2020,"Thursday, 27 May 2004",13-03-2020,development of north eastern region
ministry of non resident indian affairs,"Thursday, 27 May 2004","Thursday, 2 September 2004","Thursday, 27 May 2004","Friday, 3 September 2004",non resident indian affairs
ministry of panchayati raj,"Thursday, 27 May 2004",13-03-2020,"Thursday, 27 May 2004",13-03-2020,panchayati raj
ministry of overseas indian affairs,"Thursday, 2 September 2004","Friday, 12 February 2016","Friday, 3 September 2004","Thursday, 16 June 2016",overseas indian affairs
"ministry of shipping, road transport & highways","Thursday, 2 September 2004","Thursday, 4 June 2009","Friday, 3 September 2004","Friday, 5 June 2009","shipping, road transport & highways"
ministry of minority affairs,"Thursday, 16 February 2006",13-03-2020,"Thursday, 16 February 2006",13-03-2020,minority affairs
ministry of ocean development,"Thursday, 16 February 2006","Wednesday, 12 July 2006","Thursday, 16 February 2006","Monday, 17 July 2006",ocean development
ministry of women & child development,"Thursday, 16 February 2006",13-03-2020,"Thursday, 16 February 2006",13-03-2020,women & child development
ministry of housing & urban poverty alleviation,"Thursday, 1 June 2006","Thursday, 6 July 2017","Friday, 2 June 2006","Friday, 7 July 2017",housing & urban poverty alleviation
ministry of earth sciences,"Wednesday, 12 July 2006",13-03-2020,"Monday, 17 July 2006",13-03-2020,earth sciences
ministry of new & renewable energy,"Saturday, 14 October 2006",13-03-2020,"Tuesday, 17 October 2006",13-03-2020,new & renewable energy
ministry of corporate affairs,"Wednesday, 9 May 2007",13-03-2020,"Friday, 11 May 2007",13-03-2020,corporate affairs
"ministry of micro, small & medium enterprises","Wednesday, 9 May 2007",13-03-2020,"Friday, 11 May 2007",13-03-2020,"micro, small & medium enterprises"
ministry of drinking water & sanitation,"Wednesday, 13 July 2011","Friday, 14 June 2019","Wednesday, 13 July 2011","Monday, 17 June 2019",drinking water & sanitation
"ministry of environment, forests & climate change","Thursday, 31 July 2014",13-03-2020,"Friday, 1 August 2014",13-03-2020,"environment, forests & climate change"
